
FORK;10000;0.000000000;0.000000000;92406.015999999;500.000000000;20.000000000;520.391000000;
VFORK;10000;0.000000000;0.000000000;78995.711999999;440.000000000;20.000000000;462.482000000;
CLONE;10000;0.000000000;0.000000000;61673.727999998;436.000000000;12.000000000;450.139000000;
CLONE (vfork);10000;0.000000000;0.000000000;75593.984000000;496.000000000;16.000000000;511.572000000;
FORK;40000;0.000000000;0.000000000;390331.647999990;2096.000000000;60.000000000;2158.451000000;
VFORK;40000;0.000000000;0.000000000;345595.903999971;1864.000000000;64.000000000;1931.193000000;
CLONE;40000;0.000000000;0.000000000;320718.079999982;2008.000000000;60.000000000;2068.607000000;
CLONE (vfork);40000;0.000000000;0.000000000;344837.631999994;2200.000000000;80.000000000;2281.579000000;
FORK;100000;0.000000000;0.000000000;968106.496000023;5112.000000000;152.000000000;5266.327000000;
VFORK;100000;0.000000000;0.000000000;864729.088000143;4908.000000000;112.000000000;5022.878000000;
CLONE;100000;0.000000000;0.000000000;735690.239999934;4708.000000000;116.000000000;4824.882000000;
CLONE (vfork);100000;0.000000000;0.000000000;706179.583999834;4856.000000000;156.000000000;5011.357000000;
FORK;200000;0.000000000;0.000000000;1837864.959999871;9824.000000000;280.000000000;10104.170000000;
VFORK;200000;0.000000000;0.000000000;1702862.591999972;9492.000000000;276.000000000;9769.447000000;
CLONE;200000;0.000000000;0.000000000;1527688.448000109;9852.000000000;228.000000000;10081.684000000;
CLONE (vfork);200000;0.000000000;0.000000000;1479777.535999533;10344.000000000;300.000000000;10647.118000000;
